text,amount,category,payment_method,location,notes
"pizza delivery pe 13580 ka bill tha, cash se pay kia",13580,food,cash,,
online clothing store bill se 30444 ka saman lia upi se pay kia,30444,shopping,upi,,
"pizza delivery pe 15700 ka bill tha, upi se pay kya",15700,food,upi,,
Hotel booking INR 12291,12291,travel,cash,,
null,NULL,shopping_err,bitcoin,,
Ola cab INR 11918,11918,travel,cash,,
Concert ticket INR 14975,14975,entertainment,card,,
train ticket irctc ka kiraya 33695 rupay diye upi se,33695,travel,upi,,
NaN,99999999,misc,paypal,,
Car loan EMI INR 38908,38908,emi,cash,,
College fees payment INR 40804,40804,education,card,,
5257 rs. ka home loan emi installment upi se diy,5257,emi,upi,,
netflix subscription dekha 32583 rupaiye lagaa upi se diyee,32583,entertainment,upi,,
Car loan EMI INR 38420,38420,emi,upi,,
Doctor consultation INR 23984,23984,healthcare,cash,,
22046 rupaiye ka order diy electronics shopping pe card se,22046,shopping,card,,
online clothing store bill se 35591 ka saman lia cash se pay kiya,35591,shopping,cash,,
College fees payment INR 22947,22947,education,cash,,
Uber ride INR 6702,6702,travel,cash,,
46084 rupaiye ka personal loan installment installment upi se diy,46084,emi,upi,,
netflix subscription ka subscription 5487 rupye cash se renew kiyaa,5487,entertainment,cash,,
mobile recharge ka bill 31776 rupay upi se bharaa,31776,utilities,upi,,
train ticket irctc ki ticket 13296 rupye me book kya upi se,13296,travel,upi,,
water bill recharge kiyaa 30372 rupay upi se,30372,utilities,upi,,
PPF contribution INR 24954,24954,investment,cash,,
uber ride ki ticket 10666 rs. me book kiya upi se,10666,travel,upi,,
Netflix subscription INR 27752,27752,entertainment,cash,,
Mutual fund SIP INR 32642,32642,investment,upi,,
1586 rupay ka order diy online shopping payment pe upi se,1586,shopping,upi,,
pharmacy medicine purchase me 12468 rs kharchaa hua cash se diyee,12468,healthcare,cash,,
aaj electricity bill payment ka 19204 rs. ka bill card se bharaa,19204,utilities,card,,
Water bill INR 46401,46401,utilities,upi,,
Personal loan installment INR 35959,35959,emi,cash,,
doctor ke yahan 17888 rupye lagaa cash se diye,17888,healthcare,cash,,
"lunch at hotel pe 784 ka bill tha, cash se pay kiya",784,food,cash,,
Flight ticket booking INR 46574,46574,travel,upi,,
1590 rupaiye lagaa ola cab me upi se diye,1590,travel,upi,,
Stock purchase INR 35192,35192,investment,cash,,
Netflix subscription INR 46218,46218,entertainment,card,,
aaj cafe coffee se khana order kya 19481 rupay cash se diy,19481,food,cash,,
restaurant bill ka khana 36124 rupay me aaya card se diyee,36124,food,card,,
Mobile recharge INR 35323,35323,utilities,cash,,
concert ticket ka ticket 11018 rs. me liyaa cash se,11018,entertainment,cash,,
10247 rupaiye ka mobile recharge bill pay kia upi se,10247,utilities,upi,,
concert ticket dekha 7643 rupaiye lagaa upi se diy,7643,entertainment,upi,,
6097 rupaye lagaa ola cab me upi se die,6097,travel,upi,,
mobile recharge recharge kia 36285 rs cash se,36285,utilities,cash,,
stock purchase me 9736 rupaiye invest kya upi se,9736,investment,upi,,
31995 rs. ka hospital bill bill aaya upi se pay kia,31995,healthcare,upi,,
Online shopping payment INR 34527,34527,shopping,upi,,
ppf contribution ka SIP 32195 rupye cash se bharaa,32195,investment,cash,,
38744 rupye ka credit card emi installment cash se diyee,38744,emi,cash,,
Personal loan installment INR 48892,48892,emi,card,,
Zomato dinner INR 9587,9587,food,card,,
stock purchase ka SIP 20642 rupay upi se bhra,20642,investment,upi,,
Stock purchase INR 49841,49841,investment,upi,,
3558 rupaiye ka home loan emi installment upi se diye,3558,emi,upi,,
507 rupaye crypto investment me daale card se,507,investment,card,,
49627 rs. ka mobile recharge bill pay kiyaa upi se,49627,utilities,upi,,
Flight ticket booking INR 39555,39555,travel,card,,
Bike loan EMI INR 44302,44302,emi,cash,,
Stock purchase INR 1506,1506,investment,upi,,
aaj uber ride lya 10465 rupye card se pay kiya,10465,travel,card,,
Home loan EMI INR 41371,41371,emi,cash,,
mutual fund sip ka SIP 19084 rs card se bharaa,19084,investment,card,,
just random text 123,"1,000",unknown,unknown,NULL,EDA test row
Food court payment INR 3878,3878,food,card,,
stock purchase ka SIP 38240 rupaiye upi se bharra,38240,investment,upi,,
Personal loan installment INR 47268,47268,emi,cash,,
water bill ka bill 37144 rupye cash se bhara,37144,utilities,cash,,
Library fee INR 21166,21166,education,cash,,
Clothing store bill INR 36505,36505,shopping,upi,,
Online course subscription INR 46137,46137,education,card,,
Medical test charges INR 20572,20572,healthcare,upi,,
Concert ticket INR 3974,3974,entertainment,cash,,
8532 rupaiye lagaa hotel booking me card se diy,8532,travel,card,,
train ticket irctc ki ticket 9510 rupye me book kya cash se,9510,travel,cash,,
Pharmacy medicine purchase INR 43632,43632,healthcare,card,,
electronics shopping pe shopping kiya 17441 rupye kharchaa card se,17441,shopping,card,,
Concert ticket INR 27551,27551,entertainment,cash,,
Credit card EMI INR 39175,39175,emi,upi,,
Car loan EMI INR 35906,35906,emi,card,,
