text,amount,category,payment_method
Bus ticket INR 20140,20140,travel,card
concert ticket ka subscription 36577 rs card se renew kiya,36577,entertainment,card
doctor ke yahan 1640 rs lga upi se diy,1640,healthcare,upi
electricity bill payment ka bill 32705 rs. cash se bhra,32705,utilities,cash
43845 rs. lagaa bus ticket me cash se diy,43845,travel,cash
Netflix subscription INR 16538,16538,entertainment,upi
Pharmacy medicine purchase INR 32661,32661,healthcare,card
concert ticket ka subscription 14459 rupye cash se renew kiyaa,14459,entertainment,cash
Credit card EMI INR 39175,39175,emi,upi
aaj hotel booking lia 20442 rs card se pay kiyaa,20442,travel,card
doctor ke yahan 37180 rs laga upi se diyee,37180,healthcare,upi
Mutual fund SIP INR 25033,25033,investment,card
online flipkart order se 7479 ka saman lia card se pay kiyaa,7479,shopping,card
stock purchase ka SIP 31465 rupaiye upi se bharaa,31465,investment,upi
aaj ola cab lya 42023 rs. upi se pay kya,42023,travel,upi
College fees payment INR 20592,20592,education,cash
ppf contribution me 45976 rupaiye invest kia card se,45976,investment,card
Online shopping payment INR 35868,35868,shopping,upi
game purchase ka subscription 49655 rupay card se renew kia,49655,entertainment,card
college fees payment ki fees 27700 rs. card se bhra,27700,education,card
Restaurant bill INR 25265,25265,food,upi
Crypto investment INR 32439,32439,investment,upi
48547 rs. ka personal loan installment installment upi se die,48547,emi,upi
loan ka credit card emi 24017 rs cash se pay kia,24017,emi,cash
PPF contribution INR 43294,43294,investment,upi
Clothing store bill INR 17322,17322,shopping,card
aaj crypto investment me 39986 rs lagaye upi se,39986,investment,upi
Cafe coffee INR 12376,12376,food,card
Personal loan installment INR 24926,24926,emi,cash
car loan emi ki EMI 44877 rs. upi se bharaa,44877,emi,upi
Exam fee INR 6918,6918,education,cash
Cafe coffee INR 43419,43419,food,upi
Bus ticket INR 20930,20930,travel,cash
41083 rupaiye ka bike loan emi installment upi se diyee,41083,emi,upi
Food court payment INR 29176,29176,food,card
Electronics shopping INR 18715,18715,shopping,upi
car loan emi EMI 4320 rupay kat gaye cash se,4320,emi,cash
10247 rupaiye ka mobile recharge bill pay kia upi se,10247,utilities,upi
doctor consultation pe 18296 rupye kharcha hui davai pe card se,18296,healthcare,card
padhai ke liye exam fee pe 36422 rupye khrcha kiyaa card se,36422,education,card
Netflix subscription INR 25225,25225,entertainment,upi
Food court payment INR 23342,23342,food,cash
uber ride ka kiraya 5430 rs diyee cash se,5430,travel,cash
Movie ticket booking INR 774,774,entertainment,cash
credit card emi EMI 33964 rupye kat gaye upi se,33964,emi,upi
Pharmacy medicine purchase INR 2701,2701,healthcare,upi
Doctor consultation INR 47452,47452,healthcare,upi
Ola cab INR 18152,18152,travel,card
19455 rs stock purchase me daale cash se,19455,investment,cash
2935 rupay khrcha kiya food court payment pe cash se,2935,food,cash
gas bill payment recharge kiya 5366 rs card se,5366,utilities,card
Car loan EMI INR 48569,48569,emi,upi
Bike loan EMI INR 14361,14361,emi,card
21941 rupaye diyee library fee ke liye upi se,21941,education,upi
pharmacy medicine purchase me 9602 rupay karcha hua cash se die,9602,healthcare,cash
34847 rs ka hospital bill bill aaya cash se pay kya,34847,healthcare,cash
3218 rupye ka car loan emi installment card se diyee,3218,emi,card
zomato dinner me 20350 rs. ka khana khaaya upi se,20350,food,upi
credit card emi ki EMI 33532 rs. cash se bhra,33532,emi,cash
fixed deposit investment ka SIP 43173 rupaiye cash se bharra,43173,investment,cash
clothing store bill pe shopping kya 7113 rs khrcha cash se,7113,shopping,cash
Car loan EMI INR 40946,40946,emi,upi
Pizza delivery INR 33055,33055,food,card
Hotel booking INR 42168,42168,travel,card
Credit card EMI INR 46342,46342,emi,card
car loan emi EMI 40752 rupaye kat gaye card se,40752,emi,card
online shopping payment pe shopping kya 1407 rs kharcha upi se,1407,shopping,upi
cafe coffee me 11491 rs. ka khana khya upi se,11491,food,upi
aaj cafe coffee se khana order kiya 48843 rs card se diye,48843,food,card
30612 rs. diy library fee ke liye card se,30612,education,card
loan ka credit card emi 18302 rs. upi se pay kiyaa,18302,emi,upi
netflix subscription ka ticket 34435 rupaiye me lya upi se,34435,entertainment,upi
loan ka credit card emi 8141 rupaye cash se pay kia,8141,emi,cash
doctor ke yahan 724 rupaye laga upi se diye,724,healthcare,upi
doctor ke yahan 23103 rupaiye lga cash se diy,23103,healthcare,cash
mobile recharge recharge kya 29319 rs. cash se,29319,utilities,cash
Internet recharge INR 13072,13072,utilities,cash
amazon purchase se 29532 rs. ka shopping kiyaa card se,29532,shopping,card
college fees payment ki fees 20625 rs card se bhara,20625,education,card
"zomato dinner pe 25015 ka bill tha, upi se pay kya",25015,food,upi
movie ticket booking ka ticket 27072 rupay me liyaa card se,27072,entertainment,card
college fees payment ka course 20625 rupay me lya card se pay kiyaa,20625,education,card
Restaurant bill INR 17154,17154,food,card
Internet recharge INR 23519,23519,utilities,card
