text,amount,category,payment_method,payment_provider,bank_account,text_source
coaching material 39168.99 through BHIM,39168.99,school,Upi,bhim,,english
   HP petrol ke liye 8899 ka payment cash se  ,8899,travel,cash,,,ocr_upi
hospital consultation 2597 paid with Jupiter Niyo,2597,healthcare,upi,jupiter,jupiter,ocr_upi
cash se books ko 59719,59719,education,cash,,,english
MedPlus ka payment 20679 Fi Money se diya,20679,healthcare,Upi,fi,fi,hinglish
BHIM use karke car loan EMI ka 17668 dedo,17668,emi,upi,bhim,,hinglish
"mall order paid, 15031.12 deducted via cash",15031.12,shopping,cash,,,hinglish
Invested 26138 in NPS using phonepe.,26138,emi,upi,phonepe,,english
FD ki installment 11827 HDFC Bank card se pay ki,11827,investment,card,,hdfc,hinglish
IRCTC ki cab ke 5956 CRED se transfer kar diye,5956,travel,upi,cred,,hinglish
PPF investment of 14451.72 done,14451.72,investment,unknown,,,ocr_upi
"Bhai, Amazon se 20885 ka saman liya cash diya",20885,Shopping,Cash,,,hinglish
  installment ka EMI 29672 auto debit hogaya  ,29672,loans,card,,,hinglish
aaj education loan EMI ka 27850 bheja Visa kar ke,27850,emi,card,,,voice
merchant se khana mangaya 829 ka card se payment,829,dining,card,,,voice
Quick bite Blinkit 132 cash,132,food,cash,,,ocr_receipt
i sent Karan 6838 using bhim,6838,friends,upi,bhim,,voice
Starbucks UPI payment 449 from Yes Bank,449,food,unknown,,YES BANK,ocr_upi
jupiter to dentist for 13912.,13912,hospital,upi,jupiter,jupiter,english
gas bill recharge 589 kiya Niyo pe,589,utilities,upi,niyo,niyo,voice
JioCinema monthly 2732 wala plan activate PhonePe se,2732,entertainment,upi,phonepe,,voice
Tuition ke 4053 de diye yaar,4053,tution,unknown,,,hinglish
main Jio recharge ka 2411.14 bheja PayTM se,2411.14,Utilities,upi,paytm,,voice
phonepe se flatmate ko transfer 6424 for movie tickets,6424,freind,upi,phonepe,,voice
"flatmate me 9537.94 udhaar diya, card se",9537.94,friends,Card,,,english
i paid installment 30618 with debit card from Slice,30618,installment,upi,slice,Slice,voice
24966.73 school fees coaching fee paytm se,24966.73,education,upi,paytm,,voice
Payment of 8459 to Goibibo successful on cash,8459,travel,cash,,,ocr_upi
Uber ride fare 2402 cash,2402,travel,cash,,,ocr_receipt
  Monthly sovereign gold bond auto-debit of 40761 via cred.  ,40761,investment,upi,cred,,english
EMI 5379.94 to Yes Bank using debit card,5379.94,installment,card,,yes bank,ocr_receipt
Haldirams bill paid 254.53 via Phone Pe,254.53,dining,upi,phonepe,,english
NA,14023,retail,unknown,,,english
NA,2314.21,entertainment,upi,fi,fi,hinglish
9536.72 sent to Rahul for weekend plan expenses using Visa,9536.72,friends,card,,,english
"Paid education loan EMI, amount 38017 via Mastercard",38017,loan,card,,,ocr_upi
Paid 3033.47 for a Amazon delivery,3033.47,nan,unknown,,,english
Medical supplies from doctor 1288 via Mastercard.,1288,healthcare,card,,,english
just paid 12595 towards credit card EMI using Mastercard,null,emi,upi,,,voice
gold ki installment 37355.89 card se pay ki,37355.89,investment,card,,,hinglish
SpiceJet ki app se 7717.30 ka ticket liya GPay se,7717.30,travel,upi,gpay,,hinglish
card used for coaching 10315.68,10315.68,education,card,,,english
Groww ke liye 11286 invest kiya bhai,11286,None,unknown,,,hinglish
education loan EMI ka EMI 15827 auto debit hogaya,nan,emi,card,,,hinglish
2421 rs restaurant ko diya phonepe se,2421,food,upi,phonepe,,voice
UPI payment to Karan for 5908.16 using Google Pay.,5908.16,friends,upi,gpay,,ocr_upi
37865 gone for bike loan EMI,37865,emi,unknown,,,english
coaching ke liye 26092 cash se,26092,education,cash,,,english
FirstCry 14011 UPI Google Pay,14011,shopping,upi,gpay,fi,ocr_receipt
4479.92 paid via cash for Arjun.,4479.92,freind,cash,,,ocr_upi
Fees ka 43603 pay kardiya,43603,eduation,unknown,,,hinglish
Lenskart pe shopping kiye 15117 niyo se,15117,purchase,upi,niyo,niyo,hinglish
  card use karke credit card EMI ka 18761 dedo   ,18761,shopping,upi,cred,,hinglish
  Fees for Udemy 34831.58 paid by credit card  ,34831.58,school,upi,cred,,english
"Drove together, sister ne petrol ka 7795.42 diya",7795.42,friends,unknown,,,hinglish
crypto ke liye 7664 ka SIP jupiter se diya,7664,invest,upi,jupiter,Jupiter,hinglish
Haldirams order for 771 using debit card,771,food,card,,,english
Uber se 11718.24 ka bill clear kiya BHIM ke through,11718.24,travel,upi,bhim,,hinglish
MedPlus pe 3907.50 ka payment card se,3907.50,healthcare,card,,,hinglish
Deducted 32099 for car loan EMI from Punjab National Bank account,32099,emi,unknown,,pnb,english
debit card se bike loan EMI ke 8698 pay kiye,8698,loan,card,,,hinglish
Pizza Hut ka bill 910 paytm se clear kiya,910,food,upi,paytm,,voice
Groww ke liye 36084 invest kiya bhai,36084,investment,unknown,,,hinglish
   Dinner share 8618 to Arjun Fi  ,8618,p2p,upi,fi,fi,ocr_receipt
Pizza from food court for 1635.14 on debit card,1635.14,food,CARD,,,english
Angel One ke liye 14455 ka kharcha jupiter se kiya,14455,utilities,upi,,jupiter,hinglish
"Went to Spotify, spent 682, paid by slice",682,entertainment,upi,slice,slice,english
gas bill ka bill 2259.05 diya,nan,recharge,unknown,,,voice
"Bhook lag rahi thi, KFC se 1269 ka order credit card se kiya",1269,dining,upi,cred,,hinglish
home loan EMI ka bill 15021 clear kiya credit card ke through,15021,emi,upi,cred,,voice
14065.64 ka credit card EMI bhej diya Mastercard se,14065.64,emi,upi,cred,,hinglish
2032 Rahul ko diya for movie tickets via jupiter,2032,friends,upi,jupiter,Jupiter,hinglish
Karan paid back 4567.14 via niyo,4567.14,friends,upi,niyo,niyo,ocr_receipt
"Zomato se biryani mangwai, 2249 pay kiya Axis Bank card se",2249,Food,card,,axis,hinglish
Angel One transaction for 12346.64 through Fi,12346.64,investment,upi,fi,fi,ocr_receipt
Paid 3561 to flatmate using Niyo.,3561,friends,upi,niyo,niyo,ocr_upi
NA,4430,friends,upi,gpay,,voice
Paid 18447 to FirstCry via Jupiter,18447,shopping,upi,jupiter,jupiter,ocr_upi
  flatmate ko de diya 8731 rent ka hissa gpay se  ,8731,freind,upi,gpay,,voice
"1904 debit hua Spotify ke liye, payment method PayTM",1904,Entertainment,upi,paytm,,hinglish
Tata CLiQ transaction: 3721 via Fi from,3721,Shopping,upi,fi,fi,ocr_upi
Udemy pe 12119 ka payment Visa kiya,12119,education,card,,,hinglish
fees coaching ka advance 13913 dedo,13913,tution,unknown,,,hinglish
25470 for credit card EMI via credit card,25470,emi,upi,cred,,ocr_receipt
Charged 12322.06 to Lenskart from Yes Bank account using Paytm,12322.06,Shopping,upi,gpay,yes bank,english
20588.26 coaching ka payment kar diya Niyo pe,20588.26,education,upi,niyo,niyo,hinglish
  Paid 11858.55 to Myntra via cash  ,11858.55,Shopping,cash,,,ocr_upi
gas bill payment 4171.00 cash,4171.00,utilities,cash,,,english
"Ufff, Ajio ne kat liya 15576, cash se payment",15576,shoping,cash,,,hinglish
42203 transferred for Groww via Mastercard.,42203,invest,card,,,english
Spent 25537 on a quick Flipkart order with BHIM,25537,shopping,upi,bhim,,english
PVR ke liye 2719 ka recharge from Bandhan Bank with credit card,2719,entertainment,upi,cred,bandhan,voice
Croma online order 23984 paid by cash,23984,shopping,cash,,,ocr_receipt
208 SonyLIV subscription auto-debit ho gaya via debit card,208,entertainment,card,,,hinglish
11386 PPF mein daale via GPay,11386,investment,upi,gpay,,hinglish
Angel One purchase of 3611 using niyo,3611,investment,upi,niyo,niyo,ocr_upi
50337.34 for coaching books on cash,50337.34,education,cash,,,english
main ne INOX ke liye 793.22 spend kiye debit card se,793.22,movies,card,,,voice
"Went to Steam, spent 2230, paid by Jupiter",None,entertainment,upi,jupiter,Jupiter,english
Paid PharmEasy 17567 in cash.,17567,healthcare,cash,,,english
None,941.75,dining,upi,NA,,voice
Auto-payment for Angel One of 34861.88 from .,34861.88,savings,UNKNOWN,,,english
i did Cleartrip booking for 14370 with Visa,14370,travel,card,,,voice
"Bhai, mall se 20141 ka saman liya cash diya",20141,Shopping,Cash,,,hinglish
"Bhook lag rahi thi, Burger King se 403 ka order card se kiya",403,food,card,,,hinglish
Yatra se 9356 ka bill clear kiya Niyo ke through,9356,travel,UPI,niyo,Niyo,hinglish
Monthly home loan EMI 10028 paid by cred,10028,emi,upi,cred,,english
Zara pe 15959 ka payment Mastercard se,15959,shopping,card,,,ocr_upi
22587.97 ka bike loan EMI bhej diya debit card se,22587.97,emi,card,,,hinglish
Paid 2741 to sister using paytm.,2741,transfer,upi,,,ocr_upi
KFC order for 111 using slice,111,food,upi,None,Slice,english
Medical supplies from Apollo Pharmacy 22449.48 via card.,22449.48,healthcare,card,,,english
tuition fees 36526 diya cash se,36526,school,cash,,,voice
Paid 46178 for online course on upGrad via cred.,46178,education,upi,cred,,ocr_upi
"sister owes me 4029.15 for lunch, paid via cash",4029.15,friends,cash,,,english
Paid course fees 32687 via cash,32687,education,cash,,,english
tuition course ki fees 2916 transfer ki HDFC se,2916,education,unknown,,HDFC,hinglish
Paid 2727.30 for rent using Fi Money,2727.30,utilities,upi,fi,fi,ocr_upi
niyo to checkup for 23277.,23277,medical,upi,niyo,Niyo,english
Apple Music subscription 2003 dedo using cash,2003,entertainment,cash,,,voice
"flatmate paid me back 6798 for the concert, got it in HDFC via Google Pay",6798,freind,upi,gpay,hdfc,english
books material 32268.60 through slice,32268.60,education,upi,slice,Slice,english
Spent 18191 on a quick Croma order with cash,18191,shopping,cash,,,english
"canteen se biryani mangwai, 1799 pay kiya HDFC card se",1799,food,card,,hdfc,hinglish
Flipkart transaction: 21949 via Slice from BOB,--,shopping,upi,slice,Slice,ocr_upi
Steam ke liye 287 ka payment jupiter se kiya,287,movies,upi,jupiter,jupiter,english
"Lent 8466 to sister for shopping, cash",8466,friends,cash,,,english
"sister ke liye book mangaayi, 6729 advance diya",6729,peer,unknown,,,hinglish
"Lunch at cafe for 1762.06, paid by Visa",1762.06,grocery,card,,,hinglish
Cash 14176 for MedPlus,,healthcare,CASH,,,ocr_receipt
Paid 26002.92 for Flipkart shopping with Punjab National Bank card,26002.92,shopping,card,,pnb,ocr_receipt
Visa se education loan EMI ke 25729.48 pay kiye,25729.48,emi,card,,,hinglish
main metro ko 14114 de diya cash me,14114,travell,cash,,,voice
   debit card se INOX ko 511 ka payment   ,511,entertainment,card,,,ocr_upi
car loan EMI for 13780 using Bandhan Bank card,13780,loans,card,,Bandhan Bank,ocr_receipt
stocks SIP 33219.08 via GPay,--,investment,upi,gpay,,ocr_receipt
39181 for fees books on jupiter,39181,tution,UPI,jupiter,jupiter,english
