text,amount,category,payment_method,payment_provider,bank_account,text_source
Paid 29364 for my PPF investment.,NA,mutual fund,unknown,,,english
Indian Oil ki booking karne pe 2894 lag gaye cash se,-2894,travel,cash,,,hinglish
Paid 4999 at Uber via Fi,4999,cab,upi,fi,fi,ocr_receipt
tuition 19139 debit via Visa HDFC,19139,education,card,,hdfc,ocr_receipt
3444 dentist ko transfer kiya Mastercard se,3444,healthcare,card,,,hinglish
Paid 129.93 for Airtel recharge using BHIM,129.93,utilities,upi,bhim,,ocr_upi
Returned 9714 to Sneha via cash,9714,friends,cash,,,ocr_receipt
aaj auto par 8898 kharcha hua card se,8898,commute,card,,,voice
coaching subscription renew kiya 54194 ka,54194,study,unknown,,,hinglish
personal loan EMI ka 17758 transfer BHIM se ho gaya,17758,EMI,upi,bhim,,voice
Quick Nykaa purchase for 28821.45,28821.45,purchase,unknown,,,english
"Uber flight booking 14929, paid by PayTM.",14929,travel,Upi,None,,english
4425 ka electricity bill payment done via slice,4425,healthcare,upi,None,slice,hinglish
6854 for medicines at checkup cash payment.,6854,healthcare,cash,,,english
gold mein 22813 add kiya Fi Money se,22813,invstment,upi,fi,fi,hinglish
Yatra se 10348.12 ka bill clear kiya Slice ke through,10348.12,travel,upi,slice,slice,hinglish
Recharged rent for 3295 with cash,3295,utilities,cash,,,english
32503.54 invested in index fund today.,32503.54,mutual fund,unknown,,,english
rent 1043 payment successful on cash,1043,utilities,cash,,,ocr_receipt
   4897.70 FD mein daale via PayTM  ,4897.70,investment,upi,NA,,hinglish
wifi bill pe 863 spend kiya using bhim,863,utilities,upi,bhim,fi,hinglish
Goibibo se 8697 ka recharge Jupiter card se kiya,8697,travel,upi,jupiter,jupiter,hinglish
Auto-debit for mutual fund SIP 27129 from,27129,invstment,card,,,ocr_upi
null,4371.94,purchase,upi,fi,Fi,hinglish
Deducted 6505 for IndiGo booking.,6505,travel,unknown,,,english
sister bhai ko 3221 bej diya Paytm pe,3221,shopping,upi,nan,,hinglish
"Priya ko 9809 udhaar liya yaar, kal return karunga",9809,friends,unknown,,,hinglish
"286 rupee restaurant ke liye nikle, card use kiya",286,dining,card,,,hinglish
main JioCinema ke liye 1952 pay kiya using Niyo,1952,movies,upi,niyo,niyo,voice
Booked SonyLIV tickets for 2930.21 by bhim,2930.21,OTT,upi,bhim,,ocr_receipt
main RedBus ko 2696 pay kiya Fi ke through,2696,travel,upi,fi,fi,voice
HP petrol ki booking karne pe 2577 lag gaye cash se,2577,travel,cash,,,hinglish
"Blinkit ka online order, 1096 debit hua Visa se",1096,Food,card,,,hinglish
"Bhai, Jio recharge ka bill clear kar diya 3486 ka, Axis Bank ke card se",3486,utilities,card,,Axis,hinglish
Cleared coaching dues 37392 cash,37392,education,cash,,,ocr_receipt
coaching coaching class 53746 from Bandhan Bank account,53746,education,unknown,,bandhan,english
"  H&M shopping, 3569 by jupiter  ",3569,shopping,upi,jupiter,jupiter,english
Netflix subscription 1780 paid with cash,1780,entertainment,cash,,,ocr_receipt
education loan EMI ka installment 18649.83 clear kardia debit card pe,18649.83,emi,CARD,,,hinglish
   Zomato Gold movie 1458.26 mein book kardi Fi account se   ,1458.26,entertainment,upi,fi,fi,hinglish
"Quick bite from Haldirams, cost 1893.17, used debit card",1893.17,food,card,,,hinglish
BookMyShow membership renewal 2300 via Slice,2300,leisure,upi,slice,slice,english
Paid 12023 for NPS from ICICI via niyo,12023,invest,upi,niyo,icici,ocr_receipt
H&M bill payment 14827.83 via bhim,14827.83,shopping,upi,bhim,,ocr_receipt
diagnostic center pe 22000 udhar diye Slice se,22000,healthcare,upi,slice,slice,hinglish
dentist pe 10637 ka payment IDFC First card se,10637,healthcare,upi,fi,idfc,hinglish
index fund transaction for 11828 through CRED,nan,investment,upi,,,ocr_receipt
  flatmate ko 8742 udhaar diya Jupiter se   ,8742,friends,upi,jupiter,jupiter,hinglish
"Sneha owes me 8115.24 for lunch, paid via cash",8115.24,friends,cash,,,english
Airtel recharge ke paise 1958 kat gaye from Bandhan Bank,1958,utilities,unknown,,bandhan,hinglish
concert monthly 2049 wala plan activate cash se,2049,entertainment,cash,,,voice
Fees ka 47783 pay kardiya,47783,education,unknown,,,hinglish
crypto ke liye 2774 invest kiya bhai,2774,savings,unknown,,,hinglish
Goibibo se 14203.36 ka bill clear kiya jupiter ke through,null,travel,upi,jupiter,Jupiter,hinglish
25666 sovereign gold bond mein daale via bhim,25666,investment,upi,bhim,,hinglish
null,1140,peer,unknown,,,ocr_receipt
dentist ka payment 13386 Niyo se diya,13386,healthcare,upi,,niyo,hinglish
cash se electricity bill ko 4769 transfer kiya,4769,utilities,cash,,,hinglish
physio consultation 21824.21 paid with Bandhan Fi Money,21824.21,hospital,upi,fi,bandhan,ocr_upi
installment ka installment 3487 clear kardia card pe,3487,emi,card,,,hinglish
Spent 14451 on Goibibo from Federal Bank,,travell,unknown,,federal bank,ocr_receipt
mobile recharge bill settled via cash 2048,"2,048.00",utilities,cash,,,ocr_receipt
exam fee ke liye 34603 ka payment credit card se kiya.,34603,education,upi,null,,ocr_upi
Paid 13505.59 to FirstCry via cash,13505.59,shopping,upi,NA,Fi,ocr_upi
bhai movie ticket ke liye 2118 card se book kiya Zomato Gold pe,2118,entertainment,card,,,hinglish
Cash payment of 4440.03 at diagnostic center,4440.03,pharmacy,cash,,,ocr_upi
Rapido se 8979 ka recharge RBL card se kiya,8979,travel,card,,rbl,hinglish
20659 for this month's personal loan EMI from Bandhan,20659,emi,unknown,,bandhan,voice
"Ufff, Amazon ne kat liya 17168, BHIM se payment",17168,shopping,upi,bhim,,hinglish
just paid 15519.45 towards credit card EMI using Visa,15519.45,installment,upi,,,voice
"Lunch at cafe for 1762.06, paid by Visa",1762.06,Food,card,,,hinglish
4246.02 paid for maintenance through Bandhan account on Mastercard,4246.02,bills,card,,Bandhan,ocr_receipt
main ne INOX ke liye 431 spend kiye cash se,431,OTT,cash,,,voice
  Slice to diagnostic center for 20718.   ,20718,healthcare,upi,slice,Slice,english
electricity bill bill 3381.46 done via cred,3381.46,utilities,upi,cred,,english
"2474.55 maintenance ke liye de diye yaar, bhim se",2474.55,utilities,upi,bhim,,hinglish
"Yaar, BigBasket ka bill 672.69 aaya, Niyo se clear kiya",672.69,food,upi,niyo,Niyo,hinglish
"Ugh, rent ka bill aagaya tha, 3668.86 de diye Mastercard pe",3668.86,utility,card,,,hinglish
Netflix subscription 2984.92 dedo using CRED,2984.92,entertainment,upi,cred,,voice
school fees course ki fees 21221.68 transfer ki BOB se,21221.68,tution,unknown,,bob,hinglish
Jio recharge ke paise 1825.10 kat gaye from Canara,1825.10,bills,unknown,,canara,hinglish
   Uber ki booking karne pe 6335.37 lag gaye Fi se  ,6335.37,travel,upi,fi,Fi,hinglish
PayTM se upGrad ko 46719.63,46719.63,education,Upi,paytm,,english
"Online order on Lenskart for 5178.50, paid by Niyo",5178.50,shopping,Upi,niyo,niyo,english
Paid 24809.87 for a electronics store delivery,24809.87,purchase,unknown,,,english
"Rapido ne 103 ka ride liya, payment BHIM se",103,fuel,upi,bhim,,hinglish
30936 ka car loan EMI bhej diya Visa se,30936,emi,card,,,hinglish
"Books ke liye 22323 ka kharcha, cash se",22323,education,cash,,,hinglish
