text,amount,category,payment_method,payment_provider,bank_account,text_source
bhai EMI ka installment 30440 pay kiya Niyo se,30440,emi,upi,niyo,niyo,voice
Spotify ke liye 1109 ka payment cash se kiya,1109,entertainment,cash,,,hinglish
Myntra online order 18593 paid by Phone Pe,18593,shopping,upi,phonepe,,ocr_receipt
Lunch at Pizza Hut for 1299 paid by Visa,1299,food,card,,,english
Chipped in 5762 for Sneha's gift via GPay,5762,friends,upi,gpay,,english
Karan for movie tickets 5355 Phone Pe,5355,friends,upi,phonepe,,ocr_receipt
"Drove together, flatmate ne petrol ka 7901 diya",7901,friends,unknown,,,hinglish
eye clinic se medicine li 10353 ka Phone Pe kiya,10353,healthcare,upi,phonepe,,hinglish
Visa se education loan EMI ke 3377.95 pay kiye,3377.95,emi,card,,,hinglish
metro par 375.18 spend via phonepe from Yes Bank,375.18,travel,upi,phonepe,yes bank,ocr_upi
Auto debit for home loan EMI of 28382.42 from IDFC First,28382.42,emi,upi,fi,idfc,english
PharmEasy ka bill 7078 credit card pe clear kiya,7078,healthcare,upi,cred,,hinglish
"home loan EMI kharcha, 3547 via cash",3547,emi,cash,,,ocr_upi
mobile recharge ke liye 3355 ka payment kiya niyo se,3355,utilities,upi,niyo,niyo,hinglish
"Bhai, kal Blinkit pe 730 kharcha hua credit card pe",730,food,upi,cred,,hinglish
Dinner bill 2239.28 from Pizza Hut slice,2239.28,food,upi,slice,slice,ocr_receipt
"Dinner at Blinkit 1252.06 rupees, cash",1252.06,food,cash,,,english
Credited 1398 to Jio recharge via cash,1398,utilities,upi,cred,,ocr_upi
"Dinner at JioMart 1702 rupees, Visa",1702,food,card,,,english
Bought Angel One units worth 5897 with slice.,5897,investment,upi,slice,slice,english
29779 for car loan EMI paid from Jupiter,29779,emi,upi,jupiter,jupiter,hinglish
JioCinema ka 2333.65 Paytm se cut gaya yaar,2333.65,entertainment,upi,paytm,,hinglish
Medical bill of 22726 at PharmEasy via debit card,22726,healthcare,card,,,ocr_upi
Swiggy bill paid 2053 via Niyo,2053,food,upi,niyo,niyo,english
Payment to Starbucks for 615 using Niyo,615,food,upi,niyo,niyo,ocr_upi
