text,amount,category,payment_method,payment_provider,location,notes
clothing store bill pe shopping kiyaa 16889 rupaye kharch GPay se,16889,shopping,upi,gpay,,
bhai ko udhaar return 18125 rupaye cred se,18125,friends,upi,cred,,
electricity water broadband mobile recharge bill ₹36260 BHIM,36260,utilities,upi,bhim,,
Phone Pe payment ₹48755 Mutual fund SIP,48755,investment,upi,phonepe,,
petrol diesel fuel ₹8787 at pump card,8787,travel,card,,,
netflix spotify hotstar subscription movie show ₹23919 bhim,23919,entertainment,upi,bhim,,
netflix spotify hotstar subscription movie show ₹26213 card,26213,entertainment,card,,,
exam fee ka course 37975 rupaye me liya Google Pay se pay kia,37975,education,upi,gpay,,
Hospital bill INR 1146,1146,healthcare,upi,cred,,
Vikram INR 12659 paid through Phone Pe,12659,friends,upi,phonepe,,
1291 rs lagaa ola cab me Paytm se diyee,1291,travel,upi,paytm,,
mutual fund SIP stocks PPF FD investment ₹41866 card,41866,investment,card,,,
Concert ticket INR 32412,32412,entertainment,upi,bhim,,
fixed deposit investment me 23444 rupay invest kya card se,23444,investment,card,,,
32039 rs ka credit card emi installment GPay se diy,32039,emi,upi,gpay,,
Flipkart order INR 30021,30021,shopping,card,,,
9468 rupye stock purchase me daale card se,9468,investment,card,,,
36956 rupaiye ka internet recharge bill pay kiyaa Paytm se,36956,utilities,upi,paytm,,
Doctor consultation INR 26468,26468,healthcare,upi,gpay,,
Amazon purchase INR 49638 paid through phonepe paid from account …0606,49638,shopping,upi,phonepe,,
Transaction successful — ₹4034 to Food court payment via Paytm UPI,4034,food,upi,paytm,,
Exam fee INR 30415,30415,education,upi,phonepe,,
doctor ke yahan 3975 rs. lga cash se diyee,3975,healthcare,cash,,,
Electronics shopping INR 30385,30385,shopping,upi,cred,,
31440 rs kharch kia swiggy order pe cash se,31440,food,cash,,,
zomato dinner me 37902 rupye ka khana khaya cash se,37902,food,cash,,,
uber ola cab ride airport train ticket ₹14079 card,14079,travel,card,,,
electricity water broadband mobile recharge bill ₹11961 cred,11961,utilities,upi,cred,,
school college tuition course books fees ₹17400 BHIM,17400,education,upi,bhim,,
Lunch at hotel INR 13019 paid through CRED,13019,food,upi,cred,,
school college tuition course books fees ₹32781 card,32781,education,card,,,
home loan car loan credit card EMI monthly ₹6344 autopay card,6344,emi,card,,,
aaj restaurant bill se khana order kiya 31261 rupay BHIM se diy,31261,food,upi,bhim,,
hotel booking ka kiraya 26251 rs diy CRED se,26251,travel,upi,cred,,
lunch dinner food order swiggy zomato restaurant meal ₹32389 paytm,32389,food,upi,paytm,,
netflix spotify hotstar subscription movie show ₹25294 cred,25294,entertainment,upi,cred,,
aaj gas bill payment ka 3108 rs ka bill card se bharra,3108,utilities,card,,,
bus ticket ki ticket 37835 rs. me book kiyaa card se,37835,travel,card,,,
amazon purchase pe shopping kya 28251 rupye kharchaa card se,28251,shopping,card,,,
game purchase dekha 38053 rupye laga card se die,38053,entertainment,card,,,
39343 rupaye ka doctor consultation bill aaya BHIM se pay kia,39343,healthcare,upi,bhim,,
aaj electricity bill payment ka 41644 rupye ka bill GPay se bhara,41644,utilities,upi,gpay,,
paid back friend lent money ₹18434 cash,18434,friends,cash,,,
online course subscription ka course 21063 rupay me lia GPay se pay kiyaa,21063,education,upi,gpay,,
lunch at hotel ka khana 28323 rupaiye me aaya card se diye,28323,food,card,,,
online clothing store bill se 17766 ka saman lia bhim se pay kia,17766,shopping,upi,bhim,,
netflix spotify hotstar subscription movie show ₹36242 cash,36242,entertainment,cash,,,
mutual fund SIP stocks PPF FD investment ₹31212 paytm,31212,investment,upi,paytm,,
Electricity bill payment INR 26319,26319,utilities,upi,cred,,
mutual fund SIP stocks PPF FD investment ₹18291 bhim,18291,investment,upi,bhim,,
electronics clothes purchase ₹43173 via cash,43173,shopping,cash,,,
car loan emi EMI 810 rupaye kat gaye card se,810,emi,card,,,
padhai ke liye exam fee pe 29565 rs. khrcha kia bhim se,29565,education,upi,bhim,,
Car loan EMI INR 16798,16798,emi,card,,,
exam fee ka course 11172 rupaiye me lya CRED se pay kiyaa,11172,education,upi,cred,,
netflix spotify hotstar subscription movie show ₹37523 GPay,37523,entertainment,upi,gpay,,
electricity water broadband mobile recharge bill ₹43076 bhim,43076,utilities,upi,bhim,,
Pharmacy medicine purchase INR 41958,41958,healthcare,cash,,,
school college tuition course books fees ₹3777 bhim,3777,education,upi,bhim,,
electronics shopping pe shopping kiyaa 16912 rupye kharchaa Phone Pe se,16912,shopping,upi,phonepe,,
netflix spotify hotstar subscription movie show ₹6075 card,6075,entertainment,card,,,
doctor ke yahan 25354 rs. lgaa cash se diyee,25354,healthcare,cash,,,
lunch dinner food order swiggy zomato restaurant meal ₹13624 paytm,13624,food,upi,paytm,,
personal loan installment EMI 44553 rs. kat gaye card se,44553,emi,card,,,
mutual fund SIP stocks PPF FD investment ₹48735 Paytm,48735,investment,upi,paytm,,
College fees payment INR 23716,23716,education,upi,phonepe,,
electronics shopping se 8199 rupaiye ka shopping kya cred se,8199,shopping,upi,cred,,
Paytm: Payment of ₹34336 to Game purchase successful,34336,entertainment,upi,paytm,,
lunch dinner food order swiggy zomato restaurant meal ₹40748 paytm,40748,food,upi,paytm,,
pharmacy medicine purchase me 28260 rupaiye kharchaa hua card se diye,28260,healthcare,card,,,
bhai ko udhaar return 10034 rs cash se,10034,friends,cash,,,
home loan car loan credit card EMI monthly ₹43473 autopay card,43473,emi,card,,,
flipkart order pe shopping kiya 38344 rupay karcha card se,38344,shopping,card,,,
aaj swiggy order se khana order kiyaa 46887 rupye card se diy,46887,food,card,,,
electronics shopping se 20770 rs ka shopping kiyaa card se,20770,shopping,card,,,
Library fee INR 45087,45087,education,cash,,,
College fees payment INR 24606,24606,education,card,,,
aaj electricity bill payment ka 20046 rs ka bill BHIM se bharaa,20046,utilities,upi,bhim,,
hospital bill me 34646 rupaiye kharchaa hua paytm se diy,34646,healthcare,upi,paytm,,
electricity bill payment recharge kya 30884 rupay phonepe se,30884,utilities,upi,phonepe,,
Online shopping payment INR 40887,40887,shopping,card,,,
46333 rs ka medical test charges bill aaya bhim se pay kia,46333,healthcare,upi,bhim,,
Movie ticket booking INR 36416,36416,entertainment,upi,paytm,,
zomato dinner me 48582 rupaye ka khana khaya card se,48582,food,card,,,
doctor consultation me 40666 rupaiye khrcha hua bhim se diyee,40666,healthcare,upi,bhim,,
bhim: Payment of ₹41425 to Online course subscription successful,41425,education,upi,bhim,,
Online course subscription INR 30156,30156,education,upi,phonepe,,
electricity bill payment recharge kia 15060 rs phonepe se,15060,utilities,upi,phonepe,,
netflix spotify hotstar subscription movie show ₹46773 GPay,46773,entertainment,upi,gpay,,
electricity water broadband mobile recharge bill ₹3320 gpay,3320,utilities,upi,gpay,,
Electricity bill payment INR 5391,5391,utilities,card,,,
uber ola cab ride airport train ticket ₹28353 card,28353,travel,card,,,
Cafe coffee INR 21822,21822,food,upi,paytm,,
aaj food court payment se khana order kya 36854 rupaye bhim se diyee,36854,food,upi,bhim,,
paid back friend lent money ₹22092 cash,22092,friends,cash,,,
Messy outlier tx unknown,99999999,shopping_err,UPIID123,,,
netflix spotify hotstar subscription movie show ₹32168 cash,32168,entertainment,cash,,,
Google Pay: Payment of ₹9426 to Pharmacy medicine purchase successful,9426,healthcare,upi,gpay,,
school college tuition course books fees ₹32913 Paytm,32913,education,upi,paytm,,
home loan car loan credit card EMI monthly ₹42899 autopay phonepe,42899,emi,upi,phonepe,,
padhai ke liye college fees payment pe 33590 rs. kharchaa kiyaa Google Pay se,33590,education,upi,gpay,,
netflix spotify hotstar subscription movie show ₹24508 card,24508,entertainment,card,,,
Concert ticket INR 43959 paid through CRED,43959,entertainment,upi,cred,,
mutual fund SIP stocks PPF FD investment ₹27487 card,27487,investment,card,,,
Stock purchase INR 37429,37429,investment,card,,,
Paid ₹9903 to Doctor consultation using gpay,9903,healthcare,upi,gpay,,
exam fee ki fees 19019 rupaiye card se bharra,19019,education,card,,,
doctor ke yahan 24323 rupay lagaa card se diyee,24323,healthcare,card,,,
Doctor consultation INR 20103,20103,healthcare,upi,paytm,,
Concert ticket INR 30864,30864,entertainment,upi,phonepe,,
electricity bill payment ka bill 27726 rs CRED se bhara,27726,utilities,upi,cred,,
38550 rs crypto investment me daale card se,38550,investment,card,,,
school college tuition course books fees ₹30056 BHIM,30056,education,upi,bhim,,
exam fee ki fees 49851 rupye card se bharra,49851,education,card,,,
39173 rupye diye exam fee ke liye card se,39173,education,card,,,
college fees payment ki fees 24606 rupaye card se bhara,24606,education,card,,,
electricity bill payment ka bill 24224 rupye card se bhra,24224,utilities,card,,,
Electronics shopping INR 26374,26374,shopping,upi,gpay,,
Car loan EMI INR 10851,10851,emi,card,,,
